pid,item_name,vendor_name,product_line,product_topCategory,instock_num,in_stock,out_of_stock,cost_price,item_url,url
3964441,Ribbed Hoodie Sweatshirt - 100% Exclusive,AQUA,SWEATSHIRTS,Women,6,"XS,S,M,L",,78,https://www.bloomingdales.com/shop/product/aqua-athletic-ribbed-hoodie-sweatshirt-100-exclusive?ID=3964441,"https://images.bloomingdalesassets.com/is/image/BLM/products/9/optimized/11355219_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
4026955,Hot Shot Plunging Jumpsuit,Free People,JUMPSUIT_ROMPERS,Women,6,S,"XS,M,L",80,https://www.bloomingdales.com/shop/product/fp-movement-by-free-people-hot-shot-plunging-jumpsuit?ID=4026955,"https://images.bloomingdalesassets.com/is/image/BLM/products/6/optimized/11557496_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
4057736,High Rise Lustrous Leggings,KORAL,PANTS,Women,6,"XS,S,M,L",XL,96,https://www.bloomingdales.com/shop/product/koral-high-rise-lustrous-leggings?ID=4057736,"https://images.bloomingdalesassets.com/is/image/BLM/products/3/optimized/11357453_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
3782610,Crew Leopard Print Sweatshirt,Adidas,SWEATSHIRTS,Women,6,M,"XS,S,L",65,https://www.bloomingdales.com/shop/product/adidas-crew-leopard-print-sweatshirt?ID=3782610,"https://images.bloomingdalesassets.com/is/image/BLM/products/4/optimized/11289134_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
3782604,Crew Leopard Stripe Sweatshirt,Adidas,SWEATSHIRTS,Women,6,"XS,S","M,L",65,https://www.bloomingdales.com/shop/product/adidas-crew-leopard-stripe-sweatshirt?ID=3782604,"https://images.bloomingdalesassets.com/is/image/BLM/products/2/optimized/11289142_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
3076428,Leather & Mesh Moto Jacket,Blanc Noir,JACKET,Women,6,"XS,S,M","L,XL",299,https://www.bloomingdales.com/shop/product/blanc-noir-leather-mesh-moto-jacket?ID=3076428,"https://images.bloomingdalesassets.com/is/image/BLM/products/2/optimized/11218462_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
4004910,Contour Jacket,Alo Yoga,JACKET,Women,6,"XS,S,M",L,118,https://www.bloomingdales.com/shop/product/alo-yoga-contour-jacket?ID=4004910,"https://images.bloomingdalesassets.com/is/image/BLM/products/0/optimized/11458380_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
3474969,Bike Shorts ,Alo Yoga,SHORTS,Women,6,"XS,S,M,L",XXS,56,https://www.bloomingdales.com/shop/product/alo-yoga-bike-shorts?ID=3474969,"https://images.bloomingdalesassets.com/is/image/BLM/products/8/optimized/10350078_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
3895969,The Rivington Ribbed Tank,WSLY,TOP,Women,6,"XS,S,M,XL",L,68,https://www.bloomingdales.com/shop/product/wsly-the-rivington-ribbed-tank?ID=3895969,"https://images.bloomingdalesassets.com/is/image/BLM/products/3/optimized/11397523_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
3960072,Sheer Motion Mesh Leggings,Wolford,PANTS,Women,6,"XS,S","M,L,XL",205,https://www.bloomingdales.com/shop/product/wolford-x-adidas-sheer-motion-mesh-leggings?ID=3960072,"https://images.bloomingdalesassets.com/is/image/BLM/products/2/optimized/11356112_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
